CONCEPTO,VALOR,PLANTA_O_BU,DEPARTAMENTO,CATEGORIA_GASTO,SUBCATEGORIA_GASTO,TIPO_ASIGNACION,IS_CASH,NOTAS
Tramites Legales P5,30647,P005,ADMINISTRACION,5,Servicios Legales y Trámites,DIRECTO,false,
Combustibles y Gasolina P5,28891.63,P005,ADMINISTRACION,2,Combustible y Gasolina,DIRECTO,false,
Seguros y Fianzas P5,900,P005,ADMINISTRACION,12,Seguros,DIRECTO,false,
Imss Ventas P1,1871.49,P001,VENTAS,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Rcv Ventas P1,3948.62,P001,COMERCIAL,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Infonavit Venta P1,2075.38,P001,COMERCIAL,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
3% s/nom Vtas P1,2464,P001,COMERCIAL,9,NOMINA - Obligaciones Patronales,DIRECTO,false,
Gastos de Venta P1,26120.51,P001,VENTAS,14,Otros Gastos Varios,DIRECTO,false,
Publicidad P1,15119.7,P001,VENTAS,10,Publicidad,DIRECTO,false,
VIATICOS ABELARDO SLP,119.59,bj,MANTENIMIENTO,9,Viáticos,DISTRIBUIR_BU,true,
TALACHA P1,450,P001,ADMINISTRACION,8,Reparaciones y Mantenimiento,DIRECTO,true,
COMIDA DE RESCATE SLP,300,4p_y_5,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DISTRIBUIR_4P_5,true,
COMIDA P1 AUTORIZADA,1500,P001,ADMINISTRACION,9,"Atención al Personal (Comidas, Almuerzo)",DIRECTO,true,
VIATICOS ALEX DIAZ Y SALVADOR SLP P4,1700,P004P,ADMINISTRACION,9,Viáticos,DIRECTO,true,
CASETAS SALVADOR GRAJEDA P5,500,P005,MANTENIMIENTO,2,Casetas Viales,DIRECTO,true,
APOYO TECNICO CUMPLIMIENTO SECRETARIA DE OBRA GTO P5,15000,P005,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
DADIVA GUARDIA NACIONAL SLP,5000,4p_y_5,ADMINISTRACION,13,Impuestos Locales,DISTRIBUIR_4P_5,true,
DADIVA GUARDIA NACIONAL P1,5000,P001,ADMINISTRACION,13,Impuestos Locales,DIRECTO,true,
CERRAJERIA TJ ALBERTO TORRES,500,P002,ADMINISTRACION,8,Reparaciones y Mantenimiento,DIRECTO,true,
SOLDADURA PILETA LAB P5,8491.6,P005,PRODUCCION,8,Reparaciones y Mantenimiento,DIRECTO,true,
PAGO A DIEGO DUEÑAS  TRABAJOS DE LA PITAHAYA,50000,P004P,PRODUCCION,14,Otros Gastos Varios,DIRECTO,true,
REP DE CJA DE P4,6100,P004P,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
REP DE CJA DE KAREN RH P1,7758.81,P001,ADMINISTRACION,14,Otros Gastos Varios,DIRECTO,true,
